163,132,23,23
164,36,23,23
161,69,14,23
165,70,14,23
165,106,14,23
165,43,14,23
164,140,23,23
161,45,14,23
163,80,23,23
164,82,23,23
163,116,23,23
162,152,12,23
164,56,23,23
162,153,12,23
161,57,14,23
162,154,12,23
165,155,14,23
162,156,12,23
163,94,23,23
173,128,32,13
175,33,35,13
175,34,35,13
173,105,32,55
175,139,35,13
174,81,32,13
174,115,32,13
172,57,36,55
174,58,32,13
171,154,34,55
174,59,32,13
173,156,32,13
175,60,35,13
181,33,37,2
183,129,35,2
183,130,35,2
184,34,38,2
182,35,37,2
184,67,38,2
183,69,35,2
184,70,38,2
185,107,39,2
181,108,37,2
181,46,37,2
185,142,39,2
182,56,37,2
183,152,35,2
185,153,39,77
182,154,37,2
181,91,37,2
182,156,37,2
184,60,38,2
194,33,42,5
194,36,42,5
193,69,39,5
194,155,42,5
193,107,39,5
193,139,39,5
193,43,39,5
194,93,42,5
192,46,39,79
191,142,41,79
1101,129,47,21
1102,33,48,21
1104,130,46,21
1105,34,50,21
1102,131,48,21
1103,36,50,70
1105,68,50,21
1105,70,50,21
1102,44,48,21
1105,141,50,21
1106,82,43,70
1101,152,47,21
1101,153,47,21
1101,58,47,21
1104,154,46,70
1102,91,48,21
1104,156,46,21
1103,93,50,21
113,32,10,43
112,35,8,19
115,70,10,43
115,45,10,19
114,46,18,19
112,81,8,19
114,82,18,19
113,84,10,19
115,116,10,19
114,153,18,19
113,154,10,19
112,59,8,19
114,156,18,19
112,92,8,19
123,129,15,38
124,83,15,38
124,84,15,38
123,132,15,38
123,107,15,38
123,139,15,38
124,108,15,38
121,156,2,64
124,94,15,38
133,129,20,39
133,130,20,39
131,34,13,39
132,68,19,39
131,132,13,39
134,105,20,69
135,107,27,39
132,139,19,69
135,45,27,69
134,141,20,39
133,142,20,69
132,80,19,39
135,84,27,39
131,58,13,69
134,59,20,39
141,128,29,25
144,129,28,25
141,33,29,25
142,67,29,25
143,131,5,25
141,35,29,25
146,132,30,25
143,68,5,25
144,104,28,25
143,107,5,25
142,44,29,25
146,142,30,25
145,46,23,25
142,81,29,25
144,82,28,25
145,116,23,25
141,84,29,25
144,117,28,25
146,56,30,25
143,152,5,25
142,153,29,25
146,91,30,25
145,155,23,25
145,59,23,25
155,128,22,17
151,33,22,17
152,34,22,17
155,67,22,17
154,131,22,17
155,69,22,17
154,43,22,17
154,141,22,17
153,142,11,17
152,80,22,17
151,82,22,17
151,84,22,41
153,116,11,67
153,117,11,17
152,152,22,67
155,57,22,17
154,153,22,17
163,132,23,23
164,36,23,23
161,69,14,23
165,70,14,23
165,106,14,23
165,43,14,23
164,140,23,23
161,45,14,23
163,80,23,23
164,82,23,23
163,116,23,23
162,152,12,23
164,56,23,23
162,153,12,23
161,57,14,23
162,154,12,23
165,155,14,23
162,156,12,23
163,94,23,23
173,128,32,13
175,33,35,13
175,34,35,13
173,105,32,55
175,139,35,13
174,81,32,13
174,115,32,13
172,57,36,55
174,58,32,13
171,154,34,55
174,59,32,13
173,156,32,13
175,60,35,13
181,33,37,2
183,129,35,2
183,130,35,2
184,34,38,2
182,35,37,2
184,67,38,2
183,69,35,2
184,70,38,2
185,107,39,2
181,108,37,2
181,46,37,2
185,142,39,2
182,56,37,2
183,152,35,2
185,153,39,77
182,154,37,2
181,91,37,2
182,156,37,2
184,60,38,2
194,33,42,5
194,36,42,5
193,69,39,5
194,155,42,5
193,107,39,5
193,139,39,5
193,43,39,5
194,93,42,5
192,46,39,79
191,142,41,79
1101,129,47,21
1102,33,48,21
1104,130,46,21
1105,34,50,21
1102,131,48,21
1103,36,50,70
1105,68,50,21
1105,70,50,21
1102,44,48,21
1105,141,50,21
1106,82,43,70
1101,152,47,21
1101,153,47,21
1101,58,47,21
1104,154,46,70
1102,91,48,21
1104,156,46,21
1103,93,50,21
